gap_class,status,count_or_scope,effect,recovery_condition
official_trading_status,OPEN,denominator_45,blocks_complete_preparation,"add official current trading/suspension evidence per stock with source and available_time"
corporate_actions_adjustment,OPEN,denominator_45,blocks_price-basis acceptance,"verify splits/dividends/corporate actions and adjustment provenance per stock"
volume_unit_price_basis,OPEN,denominator_45,blocks comparable execution inputs,"independent evidence for volume unit and price basis per stock"
current_official_announcements,OPEN,denominator_45,blocks current-event completeness,"official issuer/HKEX announcement evidence with source and available_time"
news_media_to_official_closure,OPEN,media clues only,does not pass news evidence,"link media clues to original announcement where applicable"
capital_flow,OPEN,denominator_45,blocks upgraded-model evidence completeness,"collect permitted current row-level capital-flow evidence with timestamp; CAPITAL-DATA-001 macro/public sources do not close this gap"
company_plan_capital_fee_events,OPEN,denominator_45,blocks event/plan evidence,"verify current company plans/capital actions/fee-related events"
trade_plan_and_fees,OPEN,denominator_45,blocks execution-readiness,"restore or define versioned trade-plan and fee inputs"
buy_eligibility_09618,ISOLATED,1,blocks current U trade eligibility for 09618,"refresh official current SSE/SZSE buy eligibility; retain U45 membership"
row_level_private_original,RECOVERED_AND_HASH_RECONCILED,45,"enables truthful row-level continuation but does not refresh market evidence","recovered Run013 preparation SHA256 9697f1572bd6e9279d9418c790a41eb17d7c4afdf349cffbcafe20ca64c6d227 and Run014 audit SHA256 0487a539122dca4a6cb020b1a0f6cf1a4690d653df45394caec7f27ce5f394ca"
